"State","Constituency","Candidates__Name","Candidates__Party","Candidates__EVM Votes","Candidates__Postal Votes","Candidates__Total Votes","Candidates__% of Votes","Total EVM Votes","Total Postal Votes","Total Votes","Winning Candidate","Winning Party"
"Kerala","Adoor","M. G. Kannan","Indian National Congress","61488","2162","63650","40.96","149921","5490","155411","Chittayam Gopakumar","Communist Party of India"
"","","Chittayam Gopakumar","Communist Party of India","63958","2611","66569","42.83","","","","",""
"","","Adv. Pandalam Prathapan","Bharatiya Janata Party","23299","681","23980","15.43","","","","",""
"","","Vipin Kanikonathu","Bahujan Samaj Party","177","1","178","0.11","","","","",""
"","","Rajankulakkada","Anna Democratic Human Rights Movement Party of India","88","7","95","0.06","","","","",""
"","","Saranyaraj","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","121","6","127","0.08","","","","",""
"","","R. Kannan S/o Rajan","Independent","210","8","218","0.14","","","","",""
"","","NOTA","None of the Above","580","14","594","0.38","","","","",""
"Kerala","Alappuzha","P.P Chitharanjan","Communist Party of India  (Marxist)","71262","2150","73412","46.33","154149","4297","158446","P.P Chitharanjan","Communist Party of India  (Marxist)"
"","","Dr.K.S Manoj","Indian National Congress","60095","1673","61768","38.98","","","","",""
"","","Sandeep Vachaspati","Bharatiya Janata Party","21204","446","21650","13.66","","","","",""
"","","Subeendran K.C","Bahujan Samaj Party","204","3","207","0.13","","","","",""
"","","K.A Vinod","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","202","3","205","0.13","","","","",""
"","","Shylendran","Bahujan Dravida Party","114","1","115","0.07","","","","",""
"","","NOTA","None of the Above","1068","21","1089","0.69","","","","",""
"Kerala","Alathur","CHANDRAN","Bahujan Samaj Party","688","11","699","0.52","132616","2750","135366","K.D.PRASENAN","Communist Party of India  (Marxist)"
"","","PALAYAM PRADEEP","Indian National Congress","39762","773","40535","29.94","","","","",""
"","","PRASANTH SIVAN","Bharatiya Janata Party","18115","234","18349","13.56","","","","",""
"","","K.D.PRASENAN","Communist Party of India  (Marxist)","72947","1706","74653","55.15","","","","",""
"","","RAJESH.M","Independent","339","8","347","0.26","","","","",""
"","","NOTA","None of the Above","765","18","783","0.58","","","","",""
"Kerala","Aluva","ANWAR SADATH","Indian National Congress","72500","1203","73703","49","148130","2298","150428","ANWAR SADATH","Indian National Congress"
"","","M.N. GOPI","Bharatiya Janata Party","15660","233","15893","10.57","","","","",""
"","","A.G. AJAYAN","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","224","4","228","0.15","","","","",""
"","","VISWAKALA THANKAPPAN","Marxist Communist Party of India (United)","340","2","342","0.23","","","","",""
"","","K.M. SHEFRIN","Welfare Party Of India","1681","32","1713","1.14","","","","",""
"","","V.A RASHEED","SOCIAL DEMOCRATIC PARTY OF INDIA","2194","30","2224","1.48","","","","",""
"","","Ar SHELNA NISHAD","Independent","54042","775","54817","36.44","","","","",""
"","","K.V. SARALA","Independent","558","11","569","0.38","","","","",""
"","","NOTA","None of the Above","931","8","939","0.62","","","","",""
"Kerala","Ambalapuzha","Anoop Antony","Bharatiya Janata Party","21974","415","22389","16.34","133382","3639","137021","H.Salam","Communist Party of India  (Marxist)"
"","","Adv.M.Liju","Indian National Congress","48841","1399","50240","36.67","","","","",""
"","","H.Salam","Communist Party of India  (Marxist)","59602","1763","61365","44.79","","","","",""
"","","M.M.Thahir","SOCIAL DEMOCRATIC PARTY OF INDIA","1672","18","1690","1.23","","","","",""
"","","Subaida","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","218","3","221","0.16","","","","",""
"","","Subhadramma Thottappally","Welfare Party Of India","513","12","525","0.38","","","","",""
"","","NOTA","None of the Above","562","29","591","0.43","","","","",""
"Kerala","Angamaly","Adv. JOSE THETTAYIL","Janata Dal  (Secular)","54620","1013","55633","40.31","135412","2585","137997","ROJI M JOHN","Indian National Congress"
"","","Adv. K V SABU","Bharatiya Janata Party","8547","130","8677","6.29","","","","",""
"","","Stalin Nikathithara","Bahujan Samaj Party","322","4","326","0.24","","","","",""
"","","ROJI M JOHN","Indian National Congress","70163","1399","71562","51.86","","","","",""
"","","JOTHILAKSHMI","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","292","9","301","0.22","","","","",""
"","","MARTIN PAUL","Independent","621","2","623","0.45","","","","",""
"","","Velayudhan","Independent","200","6","206","0.15","","","","",""
"","","NOTA","None of the Above","647","22","669","0.48","","","","",""
"Kerala","Aranmula","BIJU MATHEW","Bharatiya Janata Party","28226","873","29099","17.98","155370","6496","161866","VEENA GEORGE","Communist Party of India  (Marxist)"
"","","VEENA GEORGE","Communist Party of India  (Marxist)","72192","2758","74950","46.3","","","","",""
"","","Adv. K. SIVADASAN NAIR","Indian National Congress","53142","2805","55947","34.56","","","","",""
"","","OMALLOOR RAMACHANDRAN","Ambedkarite Party of India","229","7","236","0.15","","","","",""
"","","SANTHI OMALLOOR","Anna Democratic Human Rights Movement Party of India","130","3","133","0.08","","","","",""
"","","ARJUNAN C. K","Independent","65","2","67","0.04","","","","",""
"","","PRASANTH ARANMULA","Independent","129","14","143","0.09","","","","",""
"","","SIVADASAN NAIR S/o RAGHAVAN NAIR","Independent","607","22","629","0.39","","","","",""
"","","G. SUGATHAN","Independent","86","1","87","0.05","","","","",""
"","","NOTA","None of the Above","564","11","575","0.36","","","","",""
"Kerala","Aroor","DALEEMA","Communist Party of India  (Marxist)","73865","1752","75617","45.97","160851","3640","164491","DALEEMA","Communist Party of India  (Marxist)"
"","","RUGMA PRADEEP","Bahujan Samaj Party","665","17","682","0.41","","","","",""
"","","Adv. SHANIMOL OSMAN","Indian National Congress","67023","1581","68604","41.71","","","","",""
"","","ANIYAPPAN","Bharath Dharma Jana Sena","17233","246","17479","10.63","","","","",""
"","","AMBIKA K N  (PRIYANKA ANUP)","Democratic Social Justice Party","466","9","475","0.29","","","","",""
"","","K  PRATHAPAN","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","358","16","374","0.23","","","","",""
"","","PRAMOD PERUMPUZHA","Anna Democratic Human Rights Movement Party of India","161","0","161","0.1","","","","",""
"","","VAYALAR RAJEEVAN","Bahujan Dravida Party","159","5","164","0.1","","","","",""
"","","CHANDRAN","Independent","88","1","89","0.05","","","","",""
"","","NOTA","None of the Above","833","13","846","0.51","","","","",""
"Kerala","Aruvikkara","Krishnankutty. M","Bahujan Samaj Party","904","19","923","0.63","141521","4187","145708","Adv. G. Steephen","Communist Party of India  (Marxist)"
"","","K. S. Sabarinadhan","Indian National Congress","59877","1853","61730","42.37","","","","",""
"","","C. Sivankutty","Bharatiya Janata Party","15060","319","15379","10.55","","","","",""
"","","Adv. G. Steephen","Communist Party of India  (Marxist)","64795","1981","66776","45.83","","","","",""
"","","NOTA","None of the Above","885","15","900","0.62","","","","",""
"Kerala","Attingal","O S AMBIKA","Communist Party of India  (Marxist)","67003","2895","69898","47.35","142566","5060","147626","O S AMBIKA","Communist Party of India  (Marxist)"
"","","VIPINLAL VIDHYADHARAN","Bahujan Samaj Party","894","33","927","0.63","","","","",""
"","","ADV. A SREEDHARAN","Revolutionary Socialist Party","35672","1266","36938","25.02","","","","",""
"","","ADV. P SUDHEER","Bharatiya Janata Party","37455","807","38262","25.92","","","","",""
"","","ASHA PRAKASH","Anna Democratic Human Rights Movement Party of India","332","7","339","0.23","","","","",""
"","","AMBILI","Independent","178","13","191","0.13","","","","",""
"","","NOTA","None of the Above","1032","39","1071","0.73","","","","",""
"Kerala","Azhikode","K Ranjith","Bharatiya Janata Party","15403","338","15741","10.86","141433","3464","144897","K V Sumesh","Communist Party of India  (Marxist)"
"","","K M Shaji","Indian Union Muslim League","58490","1163","59653","41.17","","","","",""
"","","K V Sumesh","Communist Party of India  (Marxist)","63895","1899","65794","45.41","","","","",""
"","","ABDUL JABBAR K K","SOCIAL DEMOCRATIC PARTY OF INDIA","2348","9","2357","1.63","","","","",""
"","","RESMI RAVI","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","224","2","226","0.16","","","","",""
"","","Pavithran Kurikkalot","Independent","41","7","48","0.03","","","","",""
"","","Prasad V P","Independent","96","8","104","0.07","","","","",""
"","","K M SHAJI (MAMBA)","Independent","256","21","277","0.19","","","","",""
"","","Sumesh M (Mauvery House)","Independent","177","3","180","0.12","","","","",""
"","","NOTA","None of the Above","503","14","517","0.36","","","","",""
"Kerala","Balusseri","JOBISH BALUSSERY","Bahujan Samaj Party","465","11","476","0.26","175852","6102","181954","Adv. K.M. SACHINDEV","Communist Party of India  (Marxist)"
"","","DHARMAJAN BOLGATTY","Indian National Congress","69145","2322","71467","39.28","","","","",""
"","","LIBIN BALUSSERY","Bharatiya Janata Party","16033","457","16490","9.06","","","","",""
"","","Adv. K.M. SACHINDEV","Communist Party of India  (Marxist)","88612","3227","91839","50.47","","","","",""
"","","CHANDRIKA","Welfare Party Of India","856","33","889","0.49","","","","",""
"","","MOHANDAS UNNIKULAM","Republican Party of India (A)","109","6","115","0.06","","","","",""
"","","DHARMENDRAN","Independent","235","12","247","0.14","","","","",""
"","","NOTA","None of the Above","397","34","431","0.24","","","","",""
"Kerala","Beypore","ABDUL GAFOOR K. K","Bahujan Samaj Party","269","3","272","0.16","162216","2994","165210","Adv. P. A  MOHAMED RIYAS","Communist Party of India  (Marxist)"
"","","Adv. P. M NIYAS","Indian National Congress","52579","839","53418","32.33","","","","",""
"","","Adv. PRAKASHBABU","Bharatiya Janata Party","25822","445","26267","15.9","","","","",""
"","","Adv. P. A  MOHAMED RIYAS","Communist Party of India  (Marxist)","80505","1660","82165","49.73","","","","",""
"","","JAMAL CHALIYAM","SOCIAL DEMOCRATIC PARTY OF INDIA","2015","14","2029","1.23","","","","",""
"","","E.M NIYAS S/o  SALEEM BABU","Independent","159","3","162","0.1","","","","",""
"","","NIYAS K S/o KOYA KUNIYIL","Independent","106","5","111","0.07","","","","",""
"","","P. P MUHAMMAD RIYAS S/o MAMUKKOYA","Independent","160","5","165","0.1","","","","",""
"","","NOTA","None of the Above","601","20","621","0.38","","","","",""
"Kerala","Chadayamangalam","J.Chinchurani","Communist Party of India","64754","2498","67252","45.69","142285","4892","147177","J.Chinchurani","Communist Party of India"
"","","M.M.Naseer","Indian National Congress","51745","1829","53574","36.4","","","","",""
"","","Lalu","Bahujan Samaj Party","400","6","406","0.28","","","","",""
"","","Vishnu Pattathanam","Bharatiya Janata Party","21747","491","22238","15.11","","","","",""
"","","Archana Prajith","Welfare Party Of India","590","15","605","0.41","","","","",""
"","","Ratheesh Kadakkal","Anna Democratic Human Rights Movement Party of India","268","12","280","0.19","","","","",""
"","","Sharafath Mallam","SOCIAL DEMOCRATIC PARTY OF INDIA","1853","26","1879","1.28","","","","",""
"","","Shibu.K.Chadayamangalam","Independent","257","1","258","0.18","","","","",""
"","","NOTA","None of the Above","671","14","685","0.47","","","","",""
"Kerala","Chalakkudy","M S Asokan","Bahujan Samaj Party","597","20","617","0.43","140012","3142","143154","Saneeshkumar Joseph","Indian National Congress"
"","","DENNIES K ANTONY","Kerala Congress  (M)","59516","1315","60831","42.49","","","","",""
"","","Saneeshkumar Joseph","Indian National Congress","60452","1436","61888","43.23","","","","",""
"","","Unnikrishnan K.A","Bharath Dharma Jana Sena","17014","287","17301","12.09","","","","",""
"","","Dharmajan P K","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","244","9","253","0.18","","","","",""
"","","Cheriya","Independent","137","6","143","0.1","","","","",""
"","","Joshy Vattoly","Independent","143","17","160","0.11","","","","",""
"","","T N Rajan","Independent","692","21","713","0.5","","","","",""
"","","Rosilin","Independent","234","14","248","0.17","","","","",""
"","","NOTA","None of the Above","983","17","1000","0.7","","","","",""
"Kerala","Changanassery","Amruth Dev T","Bahujan Samaj Party","1048","31","1079","0.87","120562","3023","123585","Adv. Job Maichil","Kerala Congress  (M)"
"","","Adv. Job Maichil","Kerala Congress  (M)","54244","1181","55425","44.85","","","","",""
"","","Adv G Raman Nair","Bharatiya Janata Party","14106","385","14491","11.73","","","","",""
"","","M. K. Nizamuddin","SOCIAL DEMOCRATIC PARTY OF INDIA","1065","10","1075","0.87","","","","",""
"","","Rejitha Jayaram","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","323","5","328","0.27","","","","",""
