"Constituency","Constituency No","Leading Candidate","Leading Party","Trailing Candidate","Trailing Party","Margin","Status","2016 Winning Candidate","2016 Winning Party","2016 Winning Margin"
"ADOOR ","115","Chittayam Gopakumar","Communist Party of India","M. G. Kannan","Indian National Congress","2919","Result Declared","CHITTAYAM GOPAKUMAR","Communist Party of India","25460"
"ALAPPUZHA","104","P.P Chitharanjan","Communist Party of India  (Marxist)","Dr.K.S Manoj","Indian National Congress","11644","Result Declared","DR.T.M.THOMAS ISAAC","Communist Party of India  (Marxist)","31032"
"ALATHUR","60","K.D.PRASENAN","Communist Party of India  (Marxist)","PALAYAM PRADEEP","Indian National Congress","34118","Result Declared","K.D.PRASENAN","Communist Party of India  (Marxist)","36060"
"ALUVA","76","ANWAR SADATH","Indian National Congress","Ar SHELNA NISHAD","Independent","18886","Result Declared","ANWAR SADATH","Indian National Congress","18835"
"AMBALAPUZHA","105","H.Salam","Communist Party of India  (Marxist)","Adv.M.Liju","Indian National Congress","11125","Result Declared","G.SUDHAKARAN","Communist Party of India  (Marxist)","22621"
"ANGAMALY","75","ROJI M JOHN","Indian National Congress","Adv. JOSE THETTAYIL","Janata Dal  (Secular)","15929","Result Declared","ROJI M JOHN","Indian National Congress","9186"
"ARANMULA","113","VEENA GEORGE","Communist Party of India  (Marxist)","Adv. K. SIVADASAN NAIR","Indian National Congress","19003","Result Declared","VEENA GEORGE","Communist Party of India  (Marxist)","7646"
"AROOR","102","DALEEMA","Communist Party of India  (Marxist)","Adv. SHANIMOL OSMAN","Indian National Congress","7013","Result Declared","ADV.A.M.ARIFF","Communist Party of India  (Marxist)","38519"
"ARUVIKKARA","136","Adv. G. Steephen","Communist Party of India  (Marxist)","K. S. Sabarinadhan","Indian National Congress","5046","Result Declared","K.S. SABARINADHAN","Indian National Congress","21314"
"ATTINGAL ","128","O S AMBIKA","Communist Party of India  (Marxist)","ADV. P SUDHEER","Bharatiya Janata Party","31636","Result Declared","ADV.B.SATYAN","Communist Party of India  (Marxist)","40383"
"AZHIKODE","10","K V Sumesh","Communist Party of India  (Marxist)","K M Shaji","Indian Union Muslim League","6141","Result Declared","K M SHAJI","Indian Union Muslim League","2287"
"BALUSSERI","25","Adv. K.M. SACHINDEV","Communist Party of India  (Marxist)","DHARMAJAN BOLGATTY","Indian National Congress","20372","Result Declared","PURUSHUAN KADALUNDI","Communist Party of India  (Marxist)","15464"
"BEYPORE","29","Adv. P. A MOHAMED RIYAS","Communist Party of India  (Marxist)","Adv. P. M NIYAS","Indian National Congress","28747","Result Declared","MAMMED KOYA V K C","Communist Party of India  (Marxist)","14363"
"CHADAYAMANGALAM","122","J.Chinchurani","Communist Party of India","M.M.Naseer","Indian National Congress","13678","Result Declared","MULLAKKARA RETNAKARAN","Communist Party of India","21928"
